Date delivery,Price
20/12/2011,49.83
21/12/2011,49.65
22/12/2011,46.49
23/12/2011,28.16
24/12/2011,15.69
25/12/2011,27.67
26/12/2011,42.67
27/12/2011,44.33
28/12/2011,33.82
29/12/2011,39.01
30/12/2011,39.19
31/12/2011,18.19
01/01/2012,33.82
02/01/2012,35.03
03/01/2012,32.16
04/01/2012,20.35
05/01/2012,36.26
06/01/2012,32.58
07/01/2012,26.83
08/01/2012,47.91
09/01/2012,45.77
10/01/2012,47.83
11/01/2012,43.10
12/01/2012,36.69
13/01/2012,40.06
14/01/2012,41.58
15/01/2012,49.51
16/01/2012,50.02
17/01/2012,45.37
18/01/2012,45.16
19/01/2012,42.73
20/01/2012,37.61
21/01/2012,13.66
22/01/2012,44.01
23/01/2012,49.35
24/01/2012,47.16
25/01/2012,45.18
26/01/2012,48.76
27/01/2012,45.34
28/01/2012,41.50
29/01/2012,44.31
30/01/2012,48.72
31/01/2012,51.21
01/02/2012,62.34
02/02/2012,63.81
03/02/2012,51.38
04/02/2012,44.33
05/02/2012,78.95
06/02/2012,78.12
07/02/2012,98.98
08/02/2012,76.49
09/02/2012,82.48
10/02/2012,53.19
11/02/2012,42.50
12/02/2012,84.43
13/02/2012,63.87
14/02/2012,35.98
15/02/2012,54.89
16/02/2012,48.07
17/02/2012,42.10
18/02/2012,28.75
19/02/2012,50.64
20/02/2012,43.62
21/02/2012,43.79
22/02/2012,41.03
23/02/2012,44.78
24/02/2012,40.30
25/02/2012,42.77
26/02/2012,47.26
27/02/2012,47.42
28/02/2012,49.33
29/02/2012,47.45
01/03/2012,49.04
02/03/2012,39.38
03/03/2012,37.47
04/03/2012,44.55
05/03/2012,48.55
06/03/2012,43.25
07/03/2012,45.90
08/03/2012,47.74
09/03/2012,41.74
10/03/2012,31.68
11/03/2012,45.05
12/03/2012,47.90
13/03/2012,46.74
14/03/2012,47.47
15/03/2012,43.68
16/03/2012,40.22
17/03/2012,34.40
18/03/2012,46.02
19/03/2012,43.44
20/03/2012,45.56
21/03/2012,45.35
22/03/2012,41.75
23/03/2012,38.63
24/03/2012,25.74
25/03/2012,41.60
26/03/2012,39.40
27/03/2012,39.26
28/03/2012,31.62
29/03/2012,35.56
30/03/2012,19.24
31/03/2012,24.10
01/04/2012,43.54
02/04/2012,50.55
03/04/2012,47.77
04/04/2012,50.02
05/04/2012,41.77
06/04/2012,39.45
07/04/2012,35.20
08/04/2012,21.86
09/04/2012,40.67
10/04/2012,53.86
11/04/2012,52.96
12/04/2012,56.68
13/04/2012,45.09
14/04/2012,34.37
15/04/2012,45.26
16/04/2012,51.50
17/04/2012,50.88
18/04/2012,50.40
19/04/2012,53.87
20/04/2012,42.16
21/04/2012,37.78
22/04/2012,51.39
23/04/2012,51.21
24/04/2012,44.10
25/04/2012,41.63
26/04/2012,46.90
27/04/2012,37.22
28/04/2012,22.46
29/04/2012,42.30
30/04/2012,23.78
01/05/2012,48.18
02/05/2012,50.29
03/05/2012,42.93
04/05/2012,36.77
05/05/2012,32.68
06/05/2012,47.38
07/05/2012,40.34
08/05/2012,48.67
09/05/2012,43.12
10/05/2012,38.83
11/05/2012,35.38
12/05/2012,31.20
13/05/2012,44.67
14/05/2012,49.19
15/05/2012,40.87
16/05/2012,30.41
17/05/2012,35.49
18/05/2012,36.52
19/05/2012,25.06
20/05/2012,39.05
21/05/2012,46.12
22/05/2012,43.47
23/05/2012,43.17
24/05/2012,38.68
25/05/2012,29.89
26/05/2012,20.46
27/05/2012,25.63
28/05/2012,41.12
29/05/2012,46.08
30/05/2012,48.92
31/05/2012,38.15
01/06/2012,30.26
02/06/2012,30.95
03/06/2012,46.51
04/06/2012,41.75
05/06/2012,48.50
06/06/2012,37.48
07/06/2012,38.03
08/06/2012,23.04
09/06/2012,24.37
10/06/2012,45.57
11/06/2012,48.86
12/06/2012,48.03
13/06/2012,47.89
14/06/2012,39.73
15/06/2012,27.95
16/06/2012,22.00
17/06/2012,38.24
18/06/2012,47.58
19/06/2012,50.89
20/06/2012,48.61
21/06/2012,39.22
22/06/2012,32.14
23/06/2012,18.59
24/06/2012,32.25
25/06/2012,37.45
26/06/2012,48.97
27/06/2012,47.53
28/06/2012,46.52
29/06/2012,37.18
30/06/2012,25.09
01/07/2012,44.47
02/07/2012,49.63
03/07/2012,47.37
04/07/2012,46.29
05/07/2012,48.53
06/07/2012,39.75
07/07/2012,24.68
08/07/2012,40.79
09/07/2012,47.72
10/07/2012,45.30
11/07/2012,39.65
12/07/2012,46.04
13/07/2012,31.72
14/07/2012,26.19
15/07/2012,38.42
16/07/2012,44.49
17/07/2012,43.81
18/07/2012,40.25
19/07/2012,45.46
20/07/2012,38.39
21/07/2012,28.09
22/07/2012,42.73
23/07/2012,45.54
24/07/2012,49.36
25/07/2012,49.58
26/07/2012,48.63
27/07/2012,38.67
28/07/2012,30.65
29/07/2012,39.87
30/07/2012,44.46
31/07/2012,41.49
01/08/2012,42.59
02/08/2012,46.74
03/08/2012,40.16
04/08/2012,35.99
05/08/2012,43.67
06/08/2012,38.12
07/08/2012,44.22
08/08/2012,47.12
09/08/2012,44.85
10/08/2012,41.03
11/08/2012,26.47
12/08/2012,45.16
13/08/2012,47.92
14/08/2012,41.48
15/08/2012,51.45
16/08/2012,51.78
17/08/2012,40.50
18/08/2012,36.75
19/08/2012,49.93
20/08/2012,61.03
21/08/2012,49.38
22/08/2012,53.29
23/08/2012,51.33
24/08/2012,42.65
25/08/2012,24.80
26/08/2012,47.88
27/08/2012,49.45
28/08/2012,52.23
29/08/2012,52.52
30/08/2012,49.86
31/08/2012,43.82
01/09/2012,34.28
02/09/2012,50.81
03/09/2012,49.10
04/09/2012,49.62
05/09/2012,50.07
06/09/2012,45.40
07/09/2012,46.99
08/09/2012,38.56
09/09/2012,51.29
10/09/2012,53.52
11/09/2012,55.87
12/09/2012,52.74
13/09/2012,33.33
14/09/2012,38.27
15/09/2012,33.69
16/09/2012,50.13
17/09/2012,53.19
18/09/2012,51.57
19/09/2012,50.44
20/09/2012,48.85
21/09/2012,38.45
22/09/2012,33.13
23/09/2012,39.38
24/09/2012,44.42
25/09/2012,49.89
26/09/2012,47.66
27/09/2012,43.36
28/09/2012,34.70
29/09/2012,27.62
30/09/2012,50.93
01/10/2012,47.47
02/10/2012,29.75
03/10/2012,47.77
04/10/2012,40.58
05/10/2012,38.84
06/10/2012,33.12
07/10/2012,41.12
08/10/2012,44.90
09/10/2012,51.55
10/10/2012,52.69
11/10/2012,46.95
12/10/2012,36.98
13/10/2012,30.27
14/10/2012,43.52
15/10/2012,42.45
16/10/2012,42.07
17/10/2012,41.01
18/10/2012,44.76
19/10/2012,38.11
20/10/2012,37.20
21/10/2012,49.21
22/10/2012,51.09
23/10/2012,54.83
24/10/2012,50.13
25/10/2012,51.47
26/10/2012,39.57
27/10/2012,37.51
28/10/2012,42.64
29/10/2012,55.52
30/10/2012,48.04
31/10/2012,33.14
01/11/2012,35.01
02/11/2012,35.48
03/11/2012,28.45
04/11/2012,43.11
05/11/2012,43.59
06/11/2012,35.46
07/11/2012,39.81
08/11/2012,51.02
09/11/2012,39.51
10/11/2012,34.72
11/11/2012,52.56
12/11/2012,52.05
13/11/2012,50.89
14/11/2012,55.55
15/11/2012,52.09
16/11/2012,40.94
17/11/2012,42.61
18/11/2012,54.26
19/11/2012,52.20
20/11/2012,50.40
21/11/2012,48.80
22/11/2012,47.34
23/11/2012,41.61
24/11/2012,19.91
25/11/2012,44.22
26/11/2012,55.49
27/11/2012,52.95
28/11/2012,52.74
29/11/2012,57.69
30/11/2012,46.01
01/12/2012,41.11
02/12/2012,51.26
03/12/2012,47.38
04/12/2012,54.86
05/12/2012,53.90
06/12/2012,52.90
07/12/2012,50.12
08/12/2012,35.08
09/12/2012,52.95
10/12/2012,60.32
11/12/2012,72.07
12/12/2012,65.44
13/12/2012,49.35
14/12/2012,33.88
15/12/2012,33.24
16/12/2012,53.28
17/12/2012,55.24
18/12/2012,52.97
19/12/2012,46.73
20/12/2012,38.15
21/12/2012,37.36
22/12/2012,16.16
23/12/2012,16.60
24/12/2012,-56.87
25/12/2012,-45.77
26/12/2012,20.45
27/12/2012,31.30
28/12/2012,16.68
29/12/2012,10.37
30/12/2012,8.40
31/12/2012,17.93
01/01/2013,38.24
02/01/2013,33.77
03/01/2013,32.12
04/01/2013,33.03
05/01/2013,29.01
06/01/2013,52.40
07/01/2013,53.15
08/01/2013,51.97
09/01/2013,50.03
10/01/2013,52.80
11/01/2013,44.52
12/01/2013,38.81
13/01/2013,52.05
14/01/2013,55.85
15/01/2013,54.96
16/01/2013,53.44
17/01/2013,50.99
18/01/2013,39.44
19/01/2013,34.67
20/01/2013,47.59
21/01/2013,53.96
22/01/2013,59.74
23/01/2013,59.25
24/01/2013,52.26
25/01/2013,36.84
26/01/2013,31.12
27/01/2013,44.90
28/01/2013,32.27
29/01/2013,29.35
30/01/2013,26.06
31/01/2013,34.98
01/02/2013,35.53
02/02/2013,28.80
03/02/2013,32.35
04/02/2013,32.32
05/02/2013,46.83
06/02/2013,50.87
07/02/2013,49.44
08/02/2013,40.72
09/02/2013,35.03
10/02/2013,40.96
11/02/2013,49.46
12/02/2013,52.68
13/02/2013,46.66
14/02/2013,50.96
15/02/2013,41.29
16/02/2013,38.44
17/02/2013,53.53
18/02/2013,48.55
19/02/2013,46.19
20/02/2013,52.85
21/02/2013,47.95
22/02/2013,37.32
23/02/2013,33.75
24/02/2013,52.68
25/02/2013,55.49
26/02/2013,59.67
27/02/2013,53.96
28/02/2013,51.05
01/03/2013,42.29
02/03/2013,38.35
03/03/2013,48.90
04/03/2013,41.59
05/03/2013,49.00
06/03/2013,41.46
07/03/2013,36.24
08/03/2013,30.45
09/03/2013,18.57
10/03/2013,37.87
11/03/2013,46.53
12/03/2013,55.34
13/03/2013,53.34
14/03/2013,44.31
15/03/2013,27.89
16/03/2013,10.83
17/03/2013,36.59
18/03/2013,43.71
19/03/2013,50.36
20/03/2013,55.57
21/03/2013,38.94
22/03/2013,21.17
23/03/2013,12.70
24/03/2013,34.34
25/03/2013,38.61
26/03/2013,47.03
27/03/2013,49.27
28/03/2013,38.74
29/03/2013,38.96
30/03/2013,32.24
31/03/2013,24.89
01/04/2013,49.05
02/04/2013,40.07
03/04/2013,48.11
04/04/2013,53.45
05/04/2013,41.56
06/04/2013,40.34
07/04/2013,58.41
08/04/2013,55.97
09/04/2013,57.27
10/04/2013,55.39
11/04/2013,43.58
12/04/2013,28.38
13/04/2013,16.11
14/04/2013,39.85
15/04/2013,43.94
16/04/2013,38.26
17/04/2013,27.35
18/04/2013,31.23
19/04/2013,28.18
20/04/2013,16.39
21/04/2013,40.71
22/04/2013,32.58
23/04/2013,37.69
24/04/2013,32.66
25/04/2013,34.13
26/04/2013,26.22
27/04/2013,23.37
