Date delivery,Price
14/11/2020,36.48
15/11/2020,7.3
16/11/2020,28.49
17/11/2020,38.89
18/11/2020,36.36
19/11/2020,26.39
20/11/2020,43.26
21/11/2020,30.3
22/11/2020,29.97
23/11/2020,43.63
24/11/2020,42.03
25/11/2020,46.87
26/11/2020,56.55
27/11/2020,64.73
28/11/2020,46.88
29/11/2020,45.28
30/11/2020,52.22
01/12/2020,53.71
02/12/2020,73.99
03/12/2020,48
04/12/2020,41.78
05/12/2020,46.39
06/12/2020,42.75
07/12/2020,44.73
08/12/2020,61.08
09/12/2020,75.03
10/12/2020,69.39
11/12/2020,45.8
12/12/2020,45.72
13/12/2020,43.17
14/12/2020,42.99
15/12/2020,50.4
16/12/2020,50.06
17/12/2020,44.58
18/12/2020,42.51
19/12/2020,32.52
20/12/2020,40
21/12/2020,38.78
22/12/2020,27.69
23/12/2020,43.9
24/12/2020,24.33
25/12/2020,34.92
26/12/2020,19.15
27/12/2020,-13.45
28/12/2020,39.21
29/12/2020,46.21
30/12/2020,47.07
31/12/2020,46.7
01/01/2021,48.4
02/01/2021,50.56
03/01/2021,38.62
04/01/2021,48.02
05/01/2021,55.34
06/01/2021,52.68
07/01/2021,70.93
08/01/2021,78.34
09/01/2021,59.32
10/01/2021,52.16
11/01/2021,48.15
12/01/2021,46.1
13/01/2021,42.47
14/01/2021,70.58
15/01/2021,72.89
16/01/2021,55.85
17/01/2021,54
18/01/2021,55.95
19/01/2021,44.95
20/01/2021,36.28
21/01/2021,30.07
22/01/2021,42.53
23/01/2021,51.72
24/01/2021,49.17
25/01/2021,60.84
26/01/2021,61.37
27/01/2021,57.99
28/01/2021,55.31
29/01/2021,49.68
30/01/2021,48.48
31/01/2021,48.23
01/02/2021,57.47
02/02/2021,54.62
03/02/2021,44.53
04/02/2021,52.04
05/02/2021,51.39
06/02/2021,36.38
07/02/2021,19.38
08/02/2021,43.52
09/02/2021,64.32
10/02/2021,72.21
11/02/2021,79.3
12/02/2021,62.13
13/02/2021,53.22
14/02/2021,45.89
15/02/2021,50.75
16/02/2021,52.43
17/02/2021,49.67
18/02/2021,45.4
19/02/2021,47.71
20/02/2021,34.05
21/02/2021,32.92
22/02/2021,49.9
23/02/2021,45.58
24/02/2021,38.13
25/02/2021,46.16
26/02/2021,47.63
27/02/2021,44.94
28/02/2021,42.07
01/03/2021,49.77
02/03/2021,53.5
03/03/2021,51.91
04/03/2021,54.08
05/03/2021,53.6
06/03/2021,44.71
07/03/2021,44.82
08/03/2021,61.61
09/03/2021,60.92
10/03/2021,50.82
11/03/2021,27.43
12/03/2021,22.29
13/03/2021,11.93
14/03/2021,15.75
15/03/2021,49.28
16/03/2021,56.01
17/03/2021,57.65
18/03/2021,64.86
19/03/2021,56.45
20/03/2021,51.34
21/03/2021,35.42
22/03/2021,60.48
23/03/2021,62.33
24/03/2021,55.54
25/03/2021,58.85
26/03/2021,51.37
27/03/2021,24.69
28/03/2021,18.99
29/03/2021,40.81
30/03/2021,55.73
31/03/2021,58.72
01/04/2021,52.29
02/04/2021,36.5
03/04/2021,39.56
04/04/2021,27.69
05/04/2021,-17
06/04/2021,35.38
07/04/2021,50.32
08/04/2021,57.58
09/04/2021,53.92
10/04/2021,58.81
11/04/2021,48.69
12/04/2021,62.72
13/04/2021,57.52
14/04/2021,69.49
15/04/2021,66.98
16/04/2021,63.04
17/04/2021,61.2
18/04/2021,62.63
19/04/2021,75.67
20/04/2021,75.77
21/04/2021,59.88
22/04/2021,45.9
23/04/2021,61.73
24/04/2021,52.91
25/04/2021,37.48
26/04/2021,61.92
27/04/2021,59.51
28/04/2021,61.72
29/04/2021,59.44
30/04/2021,69.15
01/05/2021,56.69
02/05/2021,43.81
03/05/2021,62.43
04/05/2021,30.26
05/05/2021,31.81
06/05/2021,64.97
07/05/2021,71.3
08/05/2021,50.74
09/05/2021,3.62
10/05/2021,57.46
11/05/2021,72.17
12/05/2021,68.75
13/05/2021,62.74
14/05/2021,71.8
15/05/2021,60.2
16/05/2021,39.87
17/05/2021,73.7
18/05/2021,74.18
19/05/2021,77.71
20/05/2021,69.99
21/05/2021,31.34
22/05/2021,-7.04
23/05/2021,21.15
24/05/2021,31.65
25/05/2021,59.78
26/05/2021,65.61
27/05/2021,71.77
28/05/2021,73.6
29/05/2021,56.49
30/05/2021,37.85
31/05/2021,67.46
01/06/2021,68.25
02/06/2021,66.69
03/06/2021,61.96
04/06/2021,71.8
05/06/2021,62.56
06/06/2021,59.44
07/06/2021,77.34
08/06/2021,76.92
09/06/2021,76.74
10/06/2021,78.83
11/06/2021,78.1
12/06/2021,39.18
13/06/2021,19.4
14/06/2021,74.22
15/06/2021,82.61
16/06/2021,85
17/06/2021,77.51
18/06/2021,80.12
19/06/2021,70.1
20/06/2021,58.43
21/06/2021,77.63
22/06/2021,84.59
23/06/2021,92.84
24/06/2021,94.83
25/06/2021,89.73
26/06/2021,79.88
27/06/2021,64.96
28/06/2021,88.73
29/06/2021,91.65
30/06/2021,92.38
01/07/2021,89.39
02/07/2021,96.58
03/07/2021,83.6
04/07/2021,82.96
05/07/2021,93.85
06/07/2021,80.68
07/07/2021,99.11
08/07/2021,109.04
09/07/2021,91.42
10/07/2021,80.45
11/07/2021,77.74
12/07/2021,93.45
13/07/2021,95.02
14/07/2021,87.39
15/07/2021,89.74
16/07/2021,84.96
17/07/2021,61.69
18/07/2021,45.78
19/07/2021,89.21
20/07/2021,91.69
21/07/2021,89.99
22/07/2021,87.56
23/07/2021,88.8
24/07/2021,75.76
25/07/2021,60.71
26/07/2021,88.5
27/07/2021,87.22
28/07/2021,79.42
29/07/2021,46.1
30/07/2021,64.81
31/07/2021,29.82
01/08/2021,58.54
02/08/2021,80.1
03/08/2021,96.51
04/08/2021,98.17
05/08/2021,94.51
06/08/2021,71.6
07/08/2021,61.52
08/08/2021,5.63
09/08/2021,67.59
10/08/2021,90.77
11/08/2021,100.76
12/08/2021,106.54
13/08/2021,94.9
14/08/2021,63.37
15/08/2021,61.94
16/08/2021,67.6
17/08/2021,57.39
18/08/2021,78.64
19/08/2021,91.62
20/08/2021,102.18
21/08/2021,91.46
22/08/2021,78.05
23/08/2021,93.88
24/08/2021,95.4
25/08/2021,84.31
26/08/2021,92.62
27/08/2021,95.91
28/08/2021,84.72
29/08/2021,80.74
30/08/2021,106.58
31/08/2021,110.05
01/09/2021,111.86
02/09/2021,118.19
03/09/2021,110.53
04/09/2021,106.88
05/09/2021,97.63
06/09/2021,127.82
07/09/2021,127.98
08/09/2021,124.78
09/09/2021,130.23
10/09/2021,138.29
11/09/2021,129.02
12/09/2021,105.22
13/09/2021,141.32
14/09/2021,143.24
15/09/2021,168.21
16/09/2021,158.94
17/09/2021,156.96
18/09/2021,133.76
19/09/2021,94.1
20/09/2021,150.7
21/09/2021,149.89
22/09/2021,145.98
23/09/2021,73.16
24/09/2021,108.98
25/09/2021,127.59
26/09/2021,125.72
27/09/2021,143.22
28/09/2021,155.09
29/09/2021,133.31
30/09/2021,112.57
01/10/2021,100.33
02/10/2021,104.06
03/10/2021,40.96
04/10/2021,158.12
05/10/2021,159.73
06/10/2021,184.12
07/10/2021,302.53
08/10/2021,203.89
09/10/2021,139.49
10/10/2021,144.34
11/10/2021,167.84
12/10/2021,167.43
13/10/2021,188.24
14/10/2021,167.81
15/10/2021,116.65
16/10/2021,156.78
17/10/2021,142.16
18/10/2021,189.72
19/10/2021,153.46
20/10/2021,60.11
21/10/2021,61.5
22/10/2021,71.87
23/10/2021,139.38
24/10/2021,99.41
25/10/2021,173.65
26/10/2021,178.02
27/10/2021,143.84
28/10/2021,153.54
29/10/2021,112.97
30/10/2021,84.15
31/10/2021,61.32
01/11/2021,95.49
02/11/2021,204.11
03/11/2021,193.14
04/11/2021,172.11
05/11/2021,160.09
06/11/2021,76.76
07/11/2021,35.41
08/11/2021,177.41
09/11/2021,163.14
10/11/2021,176.26
11/11/2021,190.43
12/11/2021,166.9
13/11/2021,156.9
14/11/2021,169.3
15/11/2021,227.96
16/11/2021,237.47
17/11/2021,180.6
18/11/2021,139.9
19/11/2021,131.63
20/11/2021,110.22
21/11/2021,144.84
22/11/2021,233.17
23/11/2021,241.87
24/11/2021,273.89
25/11/2021,243.35
26/11/2021,188.38
27/11/2021,202.9
28/11/2021,201.17
29/11/2021,265.96
30/11/2021,123.84
01/12/2021,91
02/12/2021,195.04
03/12/2021,149.97
04/12/2021,196.26
05/12/2021,157.71
06/12/2021,265.39
07/12/2021,216.19
08/12/2021,184.06
09/12/2021,277.88
10/12/2021,239.78
11/12/2021,237.35
12/12/2021,183.12
13/12/2021,264.66
14/12/2021,295.82
15/12/2021,295.2
16/12/2021,344.3
17/12/2021,338.14
