Date delivery,Date delivery,month,weekday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weekday_7,monthly adjustments,S_adjusted_prices,weekly adjustments,price,ARIMA_fitted,SARIMA_fitted,SARIMA_residuals,original_price,trans_SARIMA_fitted,trans_residuals
2019-11-19,2019-11-19,11,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.06270175448496575,-0.6637387607453381,0.0,-0.6010370062603724,-0.7349531315628008,-0.6722513770778351,0.07121437081746274,46.49000000000001,41.69559960298714,4.794400397012872
2019-11-20,2019-11-20,11,2,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0.06270175448496575,-0.5989631747778346,0.031657264965025834,-0.504604155327843,-0.6910122816932153,-0.5966532622432237,0.09204910691538071,53.25000000000001,46.79069781010362,6.459302189896384
2019-11-21,2019-11-21,11,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.06270175448496575,-0.6708133860795843,0.05896522331538291,-0.5491464082792357,-0.6619133254039872,-0.5402463476036385,-0.008900060675597121,50.09,50.71629658119062,-0.6262965811906156
2019-11-22,2019-11-22,11,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.06270175448496575,-0.7411346491018096,0.034477192122236155,-0.6439557024946078,-0.6863107324215711,-0.5891317858143692,-0.05482391668023856,43.58000000000001,47.30810953334468,-3.7281095333446643
2019-11-23,2019-11-23,11,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.06270175448496575,-0.9114575703492023,0.0,-0.8487558158642365,-0.7117208786430523,-0.6490191241580866,-0.19973669170614994,30.58000000000001,43.240784941187584,-12.660784941187575
2019-11-24,2019-11-24,11,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.06270175448496575,-0.6616119923938846,-0.20218153139324269,-0.8010917693021615,-0.799215864993452,-0.9386956419017289,0.1376038725995674,33.47,25.364047983549064,8.105952016450935
2019-11-25,2019-11-25,11,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.06270175448496575,-0.5972304380287566,0.0,-0.5345286835437909,-0.6830219866298375,-0.6203202321448718,0.08579154860108085,51.120000000000005,45.17489444021852,5.9451055597814815
2019-11-26,2019-11-26,11,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.06270175448496575,-0.651080720919553,0.0,-0.5883789664345873,-0.659078040353204,-0.5963762858682383,0.007997319433651007,47.36,46.809718111563484,0.5502818884365155
2019-11-27,2019-11-27,11,2,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0.06270175448496575,-0.8001146556445661,0.031657264965025834,-0.7057556361945745,-0.6752185597691756,-0.580859540319184,-0.12489609587539052,39.500000000000014,47.87932719045179,-8.379327190451775
2019-11-28,2019-11-28,11,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.06270175448496575,-0.9719301507306333,0.05896522331538291,-0.8502631729302846,-0.7523457706136213,-0.6306787928132727,-0.21958438011701198,30.490000000000006,44.47359048714848,-13.983590487148472
