Date delivery,Date delivery,month,weekday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weekday_7,monthly adjustments,S_adjusted_prices,weekly adjustments,price,ARIMA_fitted,SARIMA_fitted,SARIMA_residuals,original_price,trans_SARIMA_fitted,trans_residuals
2024-07-14,2024-07-14,7,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,64.18346774193549,-46.86912534472138,7.0656576027858895,24.38,28.556093949362413,28.556093949362413,-4.176093949362414,24.38,28.556093949362413,-4.176093949362414
2024-07-15,2024-07-15,7,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,64.18346774193549,13.486532258064514,0.0,77.67,49.984289972039804,49.984289972039804,27.685710027960198,77.67,49.984289972039804,27.685710027960198
2024-07-16,2024-07-16,7,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,64.18346774193549,-13.88346774193549,0.0,50.3,93.75089200154957,93.75089200154957,-43.450892001549576,50.3,93.75089200154957,-43.450892001549576
2024-07-17,2024-07-17,7,2,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,64.18346774193549,-14.9559426386447,27.152474896709204,76.38,66.61716922346687,66.61716922346687,9.762830776533121,76.38,66.61716922346687,9.762830776533121
2024-07-18,2024-07-18,7,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,64.18346774193549,-1.5292762460149945,28.085808504079502,90.74,78.19905798170993,78.19905798170993,12.540942018290067,90.74,78.19905798170993,12.540942018290067
2024-07-19,2024-07-19,7,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,64.18346774193549,21.716532258064518,0.0,85.9,64.07519301147569,64.07519301147569,21.824806988524315,85.9,64.07519301147569,21.824806988524315
2024-07-20,2024-07-20,7,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,64.18346774193549,-2.1934677419354855,0.0,61.99,57.94409706814832,57.94409706814832,4.0459029318516855,61.99,57.94409706814832,4.0459029318516855
2024-07-21,2024-07-21,7,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,64.18346774193549,-16.91912534472138,7.0656576027858895,54.33,51.96237274234078,51.96237274234078,2.3676272576592154,54.33,51.96237274234078,2.3676272576592154
2024-07-22,2024-07-22,7,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,64.18346774193549,27.046532258064516,0.0,91.23,67.13110963732471,67.13110963732471,24.09889036267529,91.23,67.13110963732471,24.09889036267529
2024-07-23,2024-07-23,7,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,64.18346774193549,15.326532258064518,0.0,79.51,105.17526791713502,105.17526791713502,-25.66526791713501,79.51,105.17526791713502,-25.66526791713501
2024-07-24,2024-07-24,7,2,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,64.18346774193549,-25.475942638644696,27.152474896709204,65.86,91.41841064549176,91.41841064549176,-25.55841064549176,65.86,91.41841064549176,-25.55841064549176
2024-07-25,2024-07-25,7,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,64.18346774193549,-12.989276246014988,28.085808504079502,79.28,72.86770634657698,72.86770634657698,6.412293653423021,79.28,72.86770634657698,6.412293653423021
2024-07-26,2024-07-26,7,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,64.18346774193549,26.766532258064515,0.0,90.95,65.0598833620805,65.0598833620805,25.890116637919505,90.95,65.0598833620805,25.890116637919505
2024-07-27,2024-07-27,7,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,64.18346774193549,16.64653225806451,0.0,80.83,65.17082156296419,65.17082156296419,15.659178437035806,80.83,65.17082156296419,15.659178437035806
2024-07-28,2024-07-28,7,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,64.18346774193549,-25.229125344721375,7.0656576027858895,46.02,67.39564886200758,67.39564886200758,-21.375648862007573,46.02,67.39564886200758,-21.375648862007573
